Complexity,Loss,Equation
1,0.25,"0.5000045"
4,0.23884167,"abs(0.44821712 / sex)"
5,0.19631849,"(age + 2.158046) * 0.23168145"
6,0.1838336,"abs((age + 1.5105731) * 0.31038314)"
7,0.17939104,"((heart_rate_bpm + age) * 0.17508738) + 0.50000066"
8,0.176457,"abs((age + 2.5378401) + heart_rate_bpm) * 0.19236185"
9,0.17298016,"abs(((age + abs(n_beats)) - -1.281918) * 0.23705864)"
10,0.17102198,"(heart_rate_bpm * 0.11854925) + abs((age * 0.27156737) + 0.4780404)"
11,0.16863787,"abs((abs(heart_rate_bpm + 0.39868593) + (age - -1.4422827)) * 0.22399622)"
12,0.1641116,"(abs(age - -1.6912462) * 0.27720806) + ((heart_rate_bpm - snr_db) * 0.115633704)"
13,0.16235119,"abs(-1.2579299 - (age + abs(-1.0672141 - (heart_rate_bpm - snr_db)))) * 0.19530815"
14,0.16143127,"((age + abs((snr_db / -1.7262062) + (heart_rate_bpm + 0.9247704))) * 0.19448021) - -0.3015044"
15,0.15773563,"abs(abs((snr_db / -1.7512255) + (heart_rate_bpm + 0.8717477)) + (age - -1.3416369)) * 0.2106762"
16,0.15746903,"abs((abs(abs(heart_rate_bpm + 0.9370776) + (snr_db / -1.6559725)) + (age - -1.30237)) * -0.2084573)"
18,0.15677173,"((abs((heart_rate_bpm + (snr_db / -1.7953452)) + 0.8759911) + ((sex / -2.7167068) + age)) - -1.6554614) * 0.18966815"
19,0.1528831,"((sex / -2.95341) + abs(abs((snr_db / -1.8303697) + (heart_rate_bpm - -0.813)) + (age - -1.3982648))) * 0.2088391"
20,0.15269308,"((sex / -2.9543092) + abs(age + (abs((snr_db / -1.8316771) + abs(-0.806005 - heart_rate_bpm)) - -1.3943862))) * 0.20837644"
