index,complexity,equation,loss,test_r2,test_mae,test_rmse,test_mse,test_mean_error,test_std_error,score
0,1,60.664062,325.65726,-2.9381801052164036e-06,14.680038542429282,17.85973432529518,318.9701101701269,-0.030613540765389753,17.85970808779496,-0.0050029381801052165
1,3,comp_sig_bzip2_ratio + 60.67163,317.1784,0.019186358887248955,14.499960651519157,17.68754691737838,312.8493159544614,-0.029632050190289992,17.687522095987976,0.004186358887248956
2,4,59.02085 + exp(comp_sig_bzip2_ratio),314.12924,0.01813258884346247,14.487630366989498,17.69704597139987,313.1854361138404,-0.05849678560729952,17.69694929189531,-0.0018674111565375288
3,5,(comp_sig_bzip2_ratio * 4.738884) + 60.67091,303.19492,0.038364331829895626,14.204131299402734,17.51376983363344,306.73213378548866,-0.05497824489489754,17.51368354110799,0.013364331829895625
4,6,exp(2.058553 - wav_wavelet_coef_max) + 50.642025,293.5404,0.10046891781888978,13.815452373562767,16.938792322778987,286.9226853542363,-0.009826074926521336,16.938789472760085,0.07046891781888978
5,8,abs((comp_sig_bzip2_ratio + (10.983577 - wav_wavelet_qrs_variability)) * 5.502035),285.1948,0.08685855891427718,13.844792073977025,17.066457461289925,291.2639702780186,-0.19928642745132272,17.065293879621656,0.04685855891427718
6,9,((5.872649 + comp_sig_bzip2_ratio) * (comp_sig_kolmogorov_estimate - wav_wavelet_qrs_variability)) + 59.5889,282.5199,0.08934548748133975,13.796083569526921,17.043201481227616,290.4707167297192,-0.08559988852818162,17.042986516124547,0.04434548748133975
7,10,abs((((comp_sig_bzip2_ratio + 10.857316) - wav_wavelet_qrs_variability) * 5.5659456) + rr_std_ms),282.1288,0.09741650362602905,13.748095403286692,16.967507518340145,287.89631138492933,-0.24171056233052837,16.965785787548633,0.04741650362602905
8,11,((comp_sig_kolmogorov_estimate - (2.079238 * wav_wavelet_qrs_peak)) * (5.469127 + comp_sig_bzip2_ratio)) + 59.224056,278.70404,0.09591160527209897,13.739669475443813,16.98164678611304,288.3763275683033,-0.11553337749523884,16.98125377017221,0.040911605272098965
9,13,(rr_std_ms + ((comp_sig_kolmogorov_estimate - (2.0406513 * wav_wavelet_qrs_peak)) * (5.523084 + comp_sig_bzip2_ratio))) + 59.23364,275.76566,0.10616614981923644,13.646340669648112,16.885065708335382,285.10544397480345,-0.15251160211681375,16.884376926200837,0.04116614981923644
10,15,(rr_std_ms + 59.255127) + (((comp_sig_kolmogorov_estimate - (wav_wavelet_qrs_peak * 1.9523144)) * (comp_sig_bzip2_ratio + 5.5165215)) - wav_wavelet_energy_d5),273.86505,0.1118986191589324,13.593985595293937,16.830833698019248,283.2769629703803,-0.2297660464745901,16.82926529989553,0.0368986191589324
11,16,((wav_wavelet_qrs_energy_ratio + comp_sig_kolmogorov_estimate) + ((abs(50.206394 - (wav_wavelet_qrs_peak / 0.21155867)) - wav_wavelet_energy_d5) + -28.94017)) * 2.8287861,272.27628,0.13368964145640339,13.460533132215122,16.623065259143395,276.32629860974004,-0.30014827198707655,16.620355279733438,0.053689641456403384
12,18,((abs((wav_wavelet_qrs_peak / 0.20171323) - ((wav_wavelet_qrs_energy_ratio + 53.40284) + (comp_sig_kolmogorov_estimate + rr_std_ms))) + -30.49502) - wav_wavelet_energy_d5) * 2.627199,270.38748,0.15092385361549387,13.34182973032672,16.456886589217643,270.8291162103715,-0.38506962711779985,16.452380909541418,0.06092385361549388
13,20,(((abs((((rr_std_ms + wav_wavelet_qrs_energy_ratio) + comp_sig_kolmogorov_estimate) - (wav_wavelet_qrs_peak / 0.16124645)) + 63.67636) + comp_sig_kolmogorov_estimate) + -33.969803) - wav_wavelet_energy_d5) * 2.0256996,268.46243,0.14563881249291344,13.308011350339985,16.50802475786891,272.5148814064129,-0.3300152773528552,16.50472572698882,0.04563881249291343
14,21,(((((wav_wavelet_qrs_energy_ratio + (comp_sig_kolmogorov_estimate + abs(65.510345 - (wav_wavelet_qrs_peak / 0.158534)))) + -36.62855) + comp_sig_kolmogorov_estimate) - wav_wavelet_energy_d5) + abs(rr_std_ms)) * 2.0414543,267.98032,0.1419619688557313,13.332613873684673,16.54350873244688,273.68768118054624,-0.32169947813922567,16.540380607057116,0.03696196885573132
15,22,heart_rate_bpm + ((((comp_sig_kolmogorov_estimate + -40.82259) + abs((rr_std_ms - (wav_wavelet_qrs_peak / 0.1454994)) + (69.68146 + (comp_sig_lempel_ziv_complexity + wav_wavelet_qrs_energy_ratio)))) - wav_wavelet_energy_d5) * 2.083817),266.7771,0.14730416582144223,13.314981809736086,16.49192787494811,271.98368503249054,-0.3460738155214615,16.48829639309959,0.037304165821442234
16,23,(((abs((((comp_sig_kolmogorov_estimate + 65.74788) + rr_std_ms) - (wav_wavelet_qrs_peak / 0.15821674)) + wav_wavelet_qrs_energy_ratio) + -36.124245) + (comp_sig_kolmogorov_estimate - wav_wavelet_energy_d5)) + abs(heart_rate_bpm)) * 1.9822505,266.75305,0.15415968294864268,13.259645567299092,16.425498056499492,269.7969864040686,-0.351846018935379,16.42172922633387,0.03915968294864268
17,24,(heart_rate_bpm + ((((comp_sig_kolmogorov_estimate - wav_wavelet_energy_d5) + -36.59879) + abs((wav_wavelet_qrs_energy_ratio + ((comp_sig_kolmogorov_estimate + rr_std_ms) - (wav_wavelet_qrs_peak / 0.15310214))) + 67.46116)) * 1.9497439)) - comp_rr_shannon_entropy,266.168,0.15209768017811598,13.27160728885534,16.445507037561004,270.45470172246854,-0.3687053289251758,16.441373364256734,0.032097680178115984
18,25,(1.9843675 * (((abs(heart_rate_bpm) + (comp_sig_kolmogorov_estimate - wav_wavelet_energy_d5)) + -36.11809) + abs(rr_std_ms + ((comp_sig_kolmogorov_estimate - (wav_wavelet_qrs_peak / 0.15764853)) + (65.70303 + wav_wavelet_qrs_energy_ratio))))) - comp_rr_shannon_entropy,265.5211,0.15708122796904,13.259297229376047,16.3971065619848,268.865103605085,-0.3951400938806784,16.392344796010512,0.032081227969040005
